r1,r2,r3,ap,at,sl,pnl,trades
0.35,0.1,0.0,2,0.5,2.4,207.6000000000057,7
0.35,0.05,0.05,2,0.5,2.4,156.80000000000427,11
0.35,0.0,0.1,2,0.5,2.4,121.00000000000315,15
0.3,0.05,0.0,2,0.5,2.4,94.40000000000379,15
0.3,0.0,0.1,2,0.5,2.4,60.000000000003524,15
0.35,0.15,0.0,2,0.5,2.4,27.000000000002842,25
0.3,0.15,0.0,2,0.5,2.4,17.800000000001347,10
0.25,0.0,0.1,2,0.5,2.4,-1.9999999999981242,8
0.3,0.05,0.05,2,0.5,2.4,-10.59999999999718,23
0.25,0.05,0.05,2,0.5,2.4,-14.799999999998477,10
0.65,0.3,0.85,2,0.5,2.4,-19.6,1
0.65,0.3,0.65,2,0.5,2.4,-19.6,1
0.65,0.3,0.9,2,0.5,2.4,-19.6,1
0.65,0.3,0.8,2,0.5,2.4,-19.6,1
0.65,0.3,0.95,2,0.5,2.4,-19.6,1
0.65,0.3,0.75,2,0.5,2.4,-19.6,1
0.65,0.35,0.0,2,0.5,2.4,-19.6,1
0.65,0.35,0.05,2,0.5,2.4,-19.6,1
0.65,0.3,0.7,2,0.5,2.4,-19.6,1
0.65,0.3,0.6,2,0.5,2.4,-19.6,1
0.65,0.35,0.15,2,0.5,2.4,-19.6,1
0.65,0.3,0.55,2,0.5,2.4,-19.6,1
0.65,0.3,0.5,2,0.5,2.4,-19.6,1
0.65,0.3,0.45,2,0.5,2.4,-19.6,1
0.65,0.3,0.4,2,0.5,2.4,-19.6,1
0.65,0.3,0.35,2,0.5,2.4,-19.6,1
0.65,0.3,0.3,2,0.5,2.4,-19.6,1
0.65,0.3,0.25,2,0.5,2.4,-19.6,1
0.65,0.3,0.2,2,0.5,2.4,-19.6,1
0.65,0.3,0.15,2,0.5,2.4,-19.6,1
0.65,0.3,0.1,2,0.5,2.4,-19.6,1
0.65,0.3,0.05,2,0.5,2.4,-19.6,1
0.65,0.3,0.0,2,0.5,2.4,-19.6,1
0.65,0.35,0.1,2,0.5,2.4,-19.6,1
0.65,0.35,0.25,2,0.5,2.4,-19.6,1
0.65,0.35,0.2,2,0.5,2.4,-19.6,1
0.65,0.4,0.0,2,0.5,2.4,-19.6,1
0.65,0.4,0.65,2,0.5,2.4,-19.6,1
0.65,0.4,0.6,2,0.5,2.4,-19.6,1
0.65,0.4,0.55,2,0.5,2.4,-19.6,1
0.65,0.4,0.5,2,0.5,2.4,-19.6,1
0.65,0.4,0.45,2,0.5,2.4,-19.6,1
0.65,0.4,0.4,2,0.5,2.4,-19.6,1
0.65,0.4,0.35,2,0.5,2.4,-19.6,1
0.65,0.4,0.3,2,0.5,2.4,-19.6,1
0.65,0.4,0.25,2,0.5,2.4,-19.6,1
0.65,0.4,0.2,2,0.5,2.4,-19.6,1
0.65,0.4,0.15,2,0.5,2.4,-19.6,1
0.65,0.4,0.1,2,0.5,2.4,-19.6,1
0.65,0.4,0.05,2,0.5,2.4,-19.6,1
0.65,0.35,0.95,2,0.5,2.4,-19.6,1
0.65,0.25,0.9,2,0.5,2.4,-19.6,1
0.65,0.35,0.9,2,0.5,2.4,-19.6,1
0.65,0.35,0.85,2,0.5,2.4,-19.6,1
0.65,0.35,0.8,2,0.5,2.4,-19.6,1
0.65,0.35,0.75,2,0.5,2.4,-19.6,1
0.65,0.35,0.7,2,0.5,2.4,-19.6,1
0.65,0.35,0.65,2,0.5,2.4,-19.6,1
0.65,0.35,0.6,2,0.5,2.4,-19.6,1
0.65,0.35,0.55,2,0.5,2.4,-19.6,1
0.65,0.35,0.5,2,0.5,2.4,-19.6,1
0.65,0.35,0.45,2,0.5,2.4,-19.6,1
0.65,0.35,0.4,2,0.5,2.4,-19.6,1
0.65,0.35,0.35,2,0.5,2.4,-19.6,1
0.65,0.35,0.3,2,0.5,2.4,-19.6,1
0.65,0.25,0.95,2,0.5,2.4,-19.6,1
0.65,0.25,0.8,2,0.5,2.4,-19.6,1
0.65,0.25,0.85,2,0.5,2.4,-19.6,1
0.65,0.15,0.55,2,0.5,2.4,-19.6,1
0.65,0.2,0.2,2,0.5,2.4,-19.6,1
0.65,0.2,0.15,2,0.5,2.4,-19.6,1
0.65,0.2,0.1,2,0.5,2.4,-19.6,1
0.65,0.2,0.05,2,0.5,2.4,-19.6,1
0.65,0.2,0.0,2,0.5,2.4,-19.6,1
0.65,0.15,0.95,2,0.5,2.4,-19.6,1
0.65,0.15,0.9,2,0.5,2.4,-19.6,1
0.65,0.15,0.85,2,0.5,2.4,-19.6,1
0.65,0.15,0.8,2,0.5,2.4,-19.6,1
0.65,0.15,0.75,2,0.5,2.4,-19.6,1
0.65,0.15,0.7,2,0.5,2.4,-19.6,1
0.65,0.15,0.65,2,0.5,2.4,-19.6,1
0.65,0.15,0.6,2,0.5,2.4,-19.6,1
0.65,0.15,0.5,2,0.5,2.4,-19.6,1
0.65,0.4,0.75,2,0.5,2.4,-19.6,1
0.65,0.15,0.45,2,0.5,2.4,-19.6,1
0.65,0.15,0.4,2,0.5,2.4,-19.6,1
0.65,0.15,0.35,2,0.5,2.4,-19.6,1
0.65,0.15,0.3,2,0.5,2.4,-19.6,1
0.65,0.15,0.25,2,0.5,2.4,-19.6,1
0.65,0.15,0.2,2,0.5,2.4,-19.6,1
0.65,0.15,0.15,2,0.5,2.4,-19.6,1
0.65,0.15,0.1,2,0.5,2.4,-19.6,1
0.65,0.15,0.05,2,0.5,2.4,-19.6,1
0.65,0.15,0.0,2,0.5,2.4,-19.6,1
0.65,0.1,0.95,2,0.5,2.4,-19.6,1
0.65,0.1,0.9,2,0.5,2.4,-19.6,1
0.65,0.1,0.85,2,0.5,2.4,-19.6,1
0.65,0.2,0.25,2,0.5,2.4,-19.6,1
0.65,0.2,0.3,2,0.5,2.4,-19.6,1
0.65,0.2,0.35,2,0.5,2.4,-19.6,1
0.65,0.2,0.4,2,0.5,2.4,-19.6,1
0.65,0.25,0.75,2,0.5,2.4,-19.6,1
0.65,0.25,0.7,2,0.5,2.4,-19.6,1
0.65,0.25,0.65,2,0.5,2.4,-19.6,1
0.65,0.25,0.6,2,0.5,2.4,-19.6,1
0.65,0.25,0.55,2,0.5,2.4,-19.6,1
0.65,0.25,0.5,2,0.5,2.4,-19.6,1
0.65,0.25,0.45,2,0.5,2.4,-19.6,1
0.65,0.25,0.4,2,0.5,2.4,-19.6,1
0.65,0.25,0.35,2,0.5,2.4,-19.6,1
0.65,0.25,0.3,2,0.5,2.4,-19.6,1
0.65,0.25,0.25,2,0.5,2.4,-19.6,1
0.65,0.25,0.2,2,0.5,2.4,-19.6,1
