r1,r2,r3,ap,at,sl,pnl,trades
0.15,0.1,0.0,2,0.5,2.4,46.00000000000512,5
0.15,0.0,0.15,2,0.5,2.4,46.000000000002935,11
0.15,0.05,0.1,2,0.5,2.4,18.20000000000293,13
0.15,0.15,0.0,2,0.5,2.4,9.800000000000935,5
0.15,0.1,0.05,2,0.5,2.4,3.8000000000031093,11
0.1,0.0,0.15,2,0.5,2.4,-2.7999999999976097,5
0.1,0.0,0.1,2,0.5,2.4,-6.199999999998525,13
0.65,0.3,0.0,2,0.5,2.4,-14.6,1
0.65,0.3,0.45,2,0.5,2.4,-14.6,1
0.65,0.35,0.0,2,0.5,2.4,-14.6,1
0.65,0.3,0.95,2,0.5,2.4,-14.6,1
0.65,0.3,0.9,2,0.5,2.4,-14.6,1
0.65,0.3,0.85,2,0.5,2.4,-14.6,1
0.65,0.3,0.8,2,0.5,2.4,-14.6,1
0.65,0.3,0.75,2,0.5,2.4,-14.6,1
0.65,0.3,0.7,2,0.5,2.4,-14.6,1
0.65,0.3,0.65,2,0.5,2.4,-14.6,1
0.65,0.3,0.6,2,0.5,2.4,-14.6,1
0.65,0.3,0.55,2,0.5,2.4,-14.6,1
0.65,0.3,0.5,2,0.5,2.4,-14.6,1
0.65,0.3,0.4,2,0.5,2.4,-14.6,1
0.65,0.3,0.05,2,0.5,2.4,-14.6,1
0.65,0.3,0.35,2,0.5,2.4,-14.6,1
0.65,0.3,0.3,2,0.5,2.4,-14.6,1
0.65,0.35,0.1,2,0.5,2.4,-14.6,1
0.65,0.25,0.8,2,0.5,2.4,-14.6,1
0.65,0.25,0.85,2,0.5,2.4,-14.6,1
0.65,0.25,0.9,2,0.5,2.4,-14.6,1
0.65,0.25,0.95,2,0.5,2.4,-14.6,1
0.65,0.3,0.25,2,0.5,2.4,-14.6,1
0.65,0.3,0.2,2,0.5,2.4,-14.6,1
0.65,0.3,0.15,2,0.5,2.4,-14.6,1
0.65,0.3,0.1,2,0.5,2.4,-14.6,1
0.65,0.35,0.05,2,0.5,2.4,-14.6,1
0.5,0.0,0.0,2,0.5,2.4,-14.6,1
0.65,0.35,0.15,2,0.5,2.4,-14.6,1
0.65,0.35,0.9,2,0.5,2.4,-14.6,1
0.65,0.4,0.55,2,0.5,2.4,-14.6,1
0.65,0.4,0.5,2,0.5,2.4,-14.6,1
0.65,0.4,0.45,2,0.5,2.4,-14.6,1
0.65,0.4,0.4,2,0.5,2.4,-14.6,1
0.65,0.4,0.35,2,0.5,2.4,-14.6,1
0.65,0.4,0.3,2,0.5,2.4,-14.6,1
0.65,0.4,0.25,2,0.5,2.4,-14.6,1
0.65,0.4,0.2,2,0.5,2.4,-14.6,1
0.65,0.4,0.15,2,0.5,2.4,-14.6,1
0.65,0.4,0.1,2,0.5,2.4,-14.6,1
0.65,0.4,0.05,2,0.5,2.4,-14.6,1
0.65,0.4,0.0,2,0.5,2.4,-14.6,1
0.65,0.35,0.95,2,0.5,2.4,-14.6,1
0.65,0.35,0.85,2,0.5,2.4,-14.6,1
0.65,0.25,0.7,2,0.5,2.4,-14.6,1
0.65,0.35,0.8,2,0.5,2.4,-14.6,1
0.65,0.35,0.75,2,0.5,2.4,-14.6,1
0.65,0.35,0.7,2,0.5,2.4,-14.6,1
0.65,0.35,0.65,2,0.5,2.4,-14.6,1
0.65,0.35,0.6,2,0.5,2.4,-14.6,1
0.65,0.35,0.55,2,0.5,2.4,-14.6,1
0.65,0.35,0.5,2,0.5,2.4,-14.6,1
0.65,0.35,0.45,2,0.5,2.4,-14.6,1
0.65,0.35,0.4,2,0.5,2.4,-14.6,1
0.65,0.35,0.35,2,0.5,2.4,-14.6,1
0.65,0.35,0.3,2,0.5,2.4,-14.6,1
0.65,0.35,0.25,2,0.5,2.4,-14.6,1
0.65,0.35,0.2,2,0.5,2.4,-14.6,1
0.65,0.25,0.75,2,0.5,2.4,-14.6,1
0.65,0.25,0.5,2,0.5,2.4,-14.6,1
0.65,0.25,0.65,2,0.5,2.4,-14.6,1
0.65,0.15,0.45,2,0.5,2.4,-14.6,1
0.65,0.2,0.05,2,0.5,2.4,-14.6,1
0.65,0.2,0.0,2,0.5,2.4,-14.6,1
0.65,0.15,0.95,2,0.5,2.4,-14.6,1
0.65,0.15,0.9,2,0.5,2.4,-14.6,1
0.65,0.15,0.85,2,0.5,2.4,-14.6,1
0.65,0.15,0.8,2,0.5,2.4,-14.6,1
0.65,0.15,0.75,2,0.5,2.4,-14.6,1
0.65,0.15,0.7,2,0.5,2.4,-14.6,1
0.65,0.15,0.65,2,0.5,2.4,-14.6,1
0.65,0.15,0.6,2,0.5,2.4,-14.6,1
0.65,0.15,0.55,2,0.5,2.4,-14.6,1
0.65,0.15,0.5,2,0.5,2.4,-14.6,1
0.65,0.15,0.4,2,0.5,2.4,-14.6,1
0.65,0.2,0.15,2,0.5,2.4,-14.6,1
0.65,0.15,0.35,2,0.5,2.4,-14.6,1
0.65,0.15,0.3,2,0.5,2.4,-14.6,1
0.65,0.15,0.25,2,0.5,2.4,-14.6,1
0.65,0.15,0.2,2,0.5,2.4,-14.6,1
0.65,0.15,0.15,2,0.5,2.4,-14.6,1
0.65,0.15,0.1,2,0.5,2.4,-14.6,1
0.65,0.15,0.05,2,0.5,2.4,-14.6,1
0.65,0.15,0.0,2,0.5,2.4,-14.6,1
0.65,0.1,0.95,2,0.5,2.4,-14.6,1
0.65,0.1,0.9,2,0.5,2.4,-14.6,1
0.65,0.1,0.85,2,0.5,2.4,-14.6,1
0.65,0.1,0.8,2,0.5,2.4,-14.6,1
0.65,0.2,0.1,2,0.5,2.4,-14.6,1
0.65,0.2,0.2,2,0.5,2.4,-14.6,1
0.65,0.25,0.6,2,0.5,2.4,-14.6,1
0.65,0.2,0.95,2,0.5,2.4,-14.6,1
0.65,0.25,0.55,2,0.5,2.4,-14.6,1
0.65,0.4,0.65,2,0.5,2.4,-14.6,1
0.65,0.25,0.45,2,0.5,2.4,-14.6,1
0.65,0.25,0.4,2,0.5,2.4,-14.6,1
0.65,0.25,0.35,2,0.5,2.4,-14.6,1
0.65,0.25,0.3,2,0.5,2.4,-14.6,1
0.65,0.25,0.25,2,0.5,2.4,-14.6,1
0.65,0.25,0.2,2,0.5,2.4,-14.6,1
0.65,0.25,0.15,2,0.5,2.4,-14.6,1
0.65,0.25,0.1,2,0.5,2.4,-14.6,1
0.65,0.25,0.05,2,0.5,2.4,-14.6,1
0.65,0.25,0.0,2,0.5,2.4,-14.6,1
0.65,0.2,0.9,2,0.5,2.4,-14.6,1
0.65,0.2,0.25,2,0.5,2.4,-14.6,1
0.65,0.2,0.85,2,0.5,2.4,-14.6,1
0.65,0.2,0.8,2,0.5,2.4,-14.6,1
0.65,0.2,0.75,2,0.5,2.4,-14.6,1
0.65,0.2,0.7,2,0.5,2.4,-14.6,1
0.65,0.2,0.65,2,0.5,2.4,-14.6,1
0.65,0.2,0.6,2,0.5,2.4,-14.6,1
0.65,0.2,0.55,2,0.5,2.4,-14.6,1
0.65,0.2,0.5,2,0.5,2.4,-14.6,1
0.65,0.2,0.45,2,0.5,2.4,-14.6,1
0.65,0.2,0.4,2,0.5,2.4,-14.6,1
0.65,0.2,0.35,2,0.5,2.4,-14.6,1
0.65,0.2,0.3,2,0.5,2.4,-14.6,1
0.65,0.4,0.6,2,0.5,2.4,-14.6,1
0.65,0.4,0.7,2,0.5,2.4,-14.6,1
0.65,0.1,0.7,2,0.5,2.4,-14.6,1
0.65,0.6,0.65,2,0.5,2.4,-14.6,1
0.65,0.65,0.3,2,0.5,2.4,-14.6,1
0.65,0.65,0.25,2,0.5,2.4,-14.6,1
0.65,0.65,0.2,2,0.5,2.4,-14.6,1
0.65,0.65,0.15,2,0.5,2.4,-14.6,1
