r1,r2,r3,ap,at,sl,pnl,trades
0.15,0.05,0.0,2,0.5,2.4,225.99999999999443,5
0.4,0.25,0.05,2,0.5,2.4,216.39999999999665,6
0.55,0.05,0.25,2,0.5,2.4,214.99999999999207,6
0.6,0.25,0.15,2,0.5,2.4,214.99999999999207,6
0.6,0.35,0.1,2,0.5,2.4,214.99999999999207,6
0.55,0.1,0.2,2,0.5,2.4,214.99999999999207,6
0.6,0.3,0.15,2,0.5,2.4,214.19999999999152,7
0.55,0.2,0.15,2,0.5,2.4,213.19999999999263,4
0.55,0.05,0.3,2,0.5,2.4,211.99999999999224,8
0.6,0.25,0.2,2,0.5,2.4,211.99999999999224,8
0.55,0.15,0.2,2,0.5,2.4,211.79999999999208,6
0.55,0.25,0.15,2,0.5,2.4,211.79999999999208,6
0.15,0.0,0.0,2,0.5,2.4,211.19999999999462,3
0.35,0.05,0.15,2,0.5,2.4,210.99999999999793,7
0.4,0.3,0.05,2,0.5,2.4,210.99999999999793,7
0.55,0.1,0.25,2,0.5,2.4,210.99999999999315,8
0.55,0.2,0.2,2,0.5,2.4,210.79999999999262,7
0.1,0.0,0.0,2,0.5,2.4,209.79999999999407,5
0.3,0.2,0.0,2,0.5,2.4,208.59999999999533,4
0.1,0.05,0.0,2,0.5,2.4,207.5999999999948,6
0.15,0.0,0.05,2,0.5,2.4,206.5999999999957,6
0.15,0.1,0.0,2,0.5,2.4,206.5999999999957,6
0.4,0.3,0.0,2,0.5,2.4,204.8000000000003,6
0.45,0.15,0.1,2,0.5,2.4,203.99999999999227,4
0.5,0.35,0.05,2,0.5,2.4,203.99999999999227,4
0.45,0.4,0.0,2,0.5,2.4,203.99999999999227,4
0.45,0.3,0.05,2,0.5,2.4,203.99999999999227,4
0.4,0.1,0.1,2,0.5,2.4,203.99999999999227,4
0.5,0.2,0.1,2,0.5,2.4,203.99999999999227,4
0.4,0.05,0.15,2,0.5,2.4,203.99999999999227,4
0.45,0.25,0.05,2,0.5,2.4,203.99999999999227,4
0.35,0.05,0.1,2,0.5,2.4,203.59999999999866,6
0.45,0.35,0.05,2,0.5,2.4,202.59999999999172,6
0.6,0.35,0.15,2,0.5,2.4,201.1999999999937,9
0.45,0.45,0.0,2,0.5,2.4,200.79999999999424,5
0.4,0.2,0.1,2,0.5,2.4,199.39999999999336,7
0.45,0.2,0.1,2,0.5,2.4,198.79999999999134,6
0.4,0.15,0.1,2,0.5,2.4,198.79999999999134,6
0.05,0.0,0.0,2,0.5,2.4,196.79999999999626,7
0.2,0.2,0.0,2,0.5,2.4,196.79999999999626,7
0.3,0.25,0.0,2,0.5,2.4,195.3999999999966,6
0.3,0.05,0.1,2,0.5,2.4,192.79999999999677,6
0.25,0.0,0.05,2,0.5,2.4,191.39999999999878,6
0.35,0.1,0.1,2,0.5,2.4,189.7999999999944,6
0.55,0.15,0.25,2,0.5,2.4,186.9999999999928,9
0.5,0.5,0.0,2,0.5,2.4,185.99999999999443,3
0.5,0.45,0.0,2,0.5,2.4,185.99999999999443,3
0.4,0.4,0.0,2,0.5,2.4,185.79999999999532,6
0.2,0.05,0.0,2,0.5,2.4,184.59999999999405,4
0.25,0.05,0.05,2,0.5,2.4,184.59999999999405,4
0.25,0.15,0.0,2,0.5,2.4,184.59999999999405,4
0.25,0.1,0.0,2,0.5,2.4,184.59999999999405,4
0.15,0.05,0.05,2,0.5,2.4,183.79999999999498,8
0.1,0.0,0.05,2,0.5,2.4,183.79999999999498,8
0.1,0.1,0.0,2,0.5,2.4,183.79999999999498,8
0.25,0.2,0.0,2,0.5,2.4,183.1999999999935,6
0.4,0.2,0.05,2,0.5,2.4,182.99999999999372,6
0.4,0.45,0.0,2,0.5,2.4,181.39999999999552,6
0.35,0.3,0.0,2,0.5,2.4,180.59999999999678,4
0.3,0.1,0.05,2,0.5,2.4,180.59999999999678,4
0.2,0.1,0.0,2,0.5,2.4,179.39999999999313,6
0.2,0.0,0.05,2,0.5,2.4,179.39999999999313,6
0.35,0.35,0.0,2,0.5,2.4,179.19999999999624,6
0.3,0.15,0.05,2,0.5,2.4,179.19999999999624,6
0.3,0.2,0.05,2,0.5,2.4,176.99999999999696,7
0.15,0.15,0.0,2,0.5,2.4,176.39999999999517,8
0.3,0.3,0.0,2,0.5,2.4,175.99999999999787,7
0.45,0.5,0.0,2,0.5,2.4,175.39999999999478,6
0.2,0.05,0.05,2,0.5,2.4,173.9999999999944,7
0.6,0.05,0.25,2,0.5,2.4,173.59999999999098,8
0.6,0.15,0.2,2,0.5,2.4,173.59999999999098,8
0.7,0.2,0.25,2,0.5,2.4,173.39999999999245,9
0.5,0.1,0.2,2,0.5,2.4,172.79999999999404,6
0.45,0.05,0.2,2,0.5,2.4,172.79999999999404,6
0.6,0.2,0.2,2,0.5,2.4,172.79999999999043,9
0.65,0.35,0.15,2,0.5,2.4,172.79999999999043,9
0.6,0.05,0.3,2,0.5,2.4,172.79999999999043,9
0.4,0.0,0.2,2,0.5,2.4,172.19999999999825,7
0.35,0.4,0.0,2,0.5,2.4,171.39999999999478,7
0.3,0.1,0.1,2,0.5,2.4,171.39999999999478,7
0.35,0.15,0.1,2,0.5,2.4,170.39999999999569,7
0.35,0.25,0.05,2,0.5,2.4,170.39999999999569,7
0.6,0.15,0.25,2,0.5,2.4,169.59999999999206,10
0.35,0.2,0.05,2,0.5,2.4,168.9999999999944,8
0.6,0.1,0.25,2,0.5,2.4,168.99999999999008,9
0.2,0.15,0.0,2,0.5,2.4,166.99999999999406,7
0.3,0.0,0.1,2,0.5,2.4,163.40000000000026,6
0.6,0.4,0.1,2,0.5,2.4,162.9999999999922,7
0.25,0.0,0.1,2,0.5,2.4,161.99999999999972,8
0.5,0.25,0.1,2,0.5,2.4,161.99999999999332,4
0.5,0.15,0.15,2,0.5,2.4,161.99999999999332,4
0.55,0.4,0.05,2,0.5,2.4,161.99999999999332,4
0.55,0.3,0.1,2,0.5,2.4,161.99999999999332,4
0.45,0.1,0.15,2,0.5,2.4,161.99999999999332,4
0.5,0.05,0.2,2,0.5,2.4,161.99999999999332,4
0.45,0.0,0.2,2,0.5,2.4,161.39999999999753,5
