r1,r2,r3,ap,at,sl,pnl,trades
0.05,0.0,0.0,2,0.5,2.4,-1.3999999999906727,15
0.15,0.8,0.5,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.7,2,0.5,2.4,-25.400000000000183,1
0.05,0.45,0.85,2,0.5,2.4,-25.400000000000183,1
0.05,0.45,0.9,2,0.5,2.4,-25.400000000000183,1
0.05,0.45,0.95,2,0.5,2.4,-25.400000000000183,1
0.05,0.5,0.6,2,0.5,2.4,-25.400000000000183,1
0.05,0.5,0.65,2,0.5,2.4,-25.400000000000183,1
0.05,0.5,0.7,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.95,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.9,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.85,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.8,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.75,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.65,2,0.5,2.4,-25.400000000000183,1
0.05,0.55,0.7,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.6,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.55,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.5,2,0.5,2.4,-25.400000000000183,1
0.0,0.7,0.45,2,0.5,2.4,-25.400000000000183,1
0.05,0.5,0.75,2,0.5,2.4,-25.400000000000183,1
0.05,0.5,0.8,2,0.5,2.4,-25.400000000000183,1
0.05,0.5,0.85,2,0.5,2.4,-25.400000000000183,1
0.05,0.5,0.9,2,0.5,2.4,-25.400000000000183,1
0.05,0.5,0.95,2,0.5,2.4,-25.400000000000183,1
0.05,0.55,0.55,2,0.5,2.4,-25.400000000000183,1
0.05,0.55,0.6,2,0.5,2.4,-25.400000000000183,1
0.05,0.45,0.8,2,0.5,2.4,-25.400000000000183,1
0.05,0.45,0.75,2,0.5,2.4,-25.400000000000183,1
0.0,0.75,0.4,2,0.5,2.4,-25.400000000000183,1
0.15,0.75,0.4,2,0.5,2.4,-25.400000000000183,1
0.0,0.8,0.65,2,0.5,2.4,-25.400000000000183,1
0.0,0.8,0.6,2,0.5,2.4,-25.400000000000183,1
0.0,0.8,0.55,2,0.5,2.4,-25.400000000000183,1
0.0,0.8,0.5,2,0.5,2.4,-25.400000000000183,1
0.0,0.8,0.45,2,0.5,2.4,-25.400000000000183,1
0.0,0.8,0.4,2,0.5,2.4,-25.400000000000183,1
0.0,0.8,0.35,2,0.5,2.4,-25.400000000000183,1
0.05,0.4,0.95,2,0.5,2.4,-25.400000000000183,1
0.15,0.75,0.55,2,0.5,2.4,-25.400000000000183,1
0.15,0.75,0.5,2,0.5,2.4,-25.400000000000183,1
0.15,0.75,0.45,2,0.5,2.4,-25.400000000000183,1
