r1,r2,r3,ap,at,sl,pnl,trades
0.4,0.05,0.1,2,0.5,2.4,-23.599999999995816,7
0.5,0.25,0.05,2,0.5,2.4,-24.3999999999971,9
0.45,0.0,0.2,2,0.5,2.4,-27.999999999997826,3
0.5,0.15,0.15,2,0.5,2.4,-32.19999999999746,5
0.55,0.3,0.05,2,0.5,2.4,-32.19999999999746,5
0.45,0.0,0.25,2,0.5,2.4,-32.19999999999746,5
0.45,0.05,0.2,2,0.5,2.4,-33.399999999996915,5
0.5,0.2,0.1,2,0.5,2.4,-33.39999999999746,7
0.4,0.1,0.05,2,0.5,2.4,-35.40000000000036,3
0.65,0.3,0.65,2,0.5,2.4,-38.000000000000725,1
0.65,0.35,0.2,2,0.5,2.4,-38.000000000000725,1
0.65,0.35,0.15,2,0.5,2.4,-38.000000000000725,1
0.65,0.35,0.1,2,0.5,2.4,-38.000000000000725,1
0.65,0.35,0.05,2,0.5,2.4,-38.000000000000725,1
0.65,0.35,0.0,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.95,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.9,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.85,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.8,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.75,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.7,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.6,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.1,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.0,2,0.5,2.4,-38.000000000000725,1
0.65,0.35,0.3,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.55,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.5,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.45,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.05,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.4,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.35,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.3,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.25,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.2,2,0.5,2.4,-38.000000000000725,1
0.65,0.3,0.15,2,0.5,2.4,-38.000000000000725,1
0.65,0.35,0.25,2,0.5,2.4,-38.000000000000725,1
0.5,0.0,0.0,2,0.5,2.4,-38.000000000000725,1
0.65,0.35,0.35,2,0.5,2.4,-38.000000000000725,1
0.65,0.35,0.4,2,0.5,2.4,-38.000000000000725,1
0.65,0.4,0.7,2,0.5,2.4,-38.000000000000725,1
0.65,0.4,0.65,2,0.5,2.4,-38.000000000000725,1
0.65,0.4,0.6,2,0.5,2.4,-38.000000000000725,1
0.65,0.4,0.55,2,0.5,2.4,-38.000000000000725,1
0.65,0.4,0.5,2,0.5,2.4,-38.000000000000725,1
