r1,r2,r3,ap,at,sl,pnl,trades
0.0,0.1,0.05,2,0.5,2.4,758.6000000000029,6
0.0,0.15,0.0,2,0.5,2.4,758.6000000000029,6
0.0,0.05,0.1,2,0.5,2.4,629.800000000002,7
0.05,0.15,0.0,2,0.5,2.4,628.8000000000052,5
0.0,0.1,0.0,2,0.5,2.4,552.8000000000043,4
0.05,0.2,0.0,2,0.5,2.4,545.2000000000036,7
0.0,0.0,0.15,2,0.5,2.4,535.6000000000045,6
0.1,0.2,0.0,2,0.5,2.4,525.400000000005,7
0.1,0.15,0.05,2,0.5,2.4,520.400000000005,7
0.25,0.15,0.2,2,0.5,2.4,515.600000000001,6
0.05,0.1,0.05,2,0.5,2.4,510.00000000000443,7
0.3,0.4,0.0,2,0.5,2.4,509.2000000000004,7
0.25,0.3,0.05,2,0.5,2.4,482.60000000000036,7
0.2,0.15,0.15,2,0.5,2.4,473.4000000000013,7
0.25,0.35,0.0,2,0.5,2.4,473.4000000000013,7
0.45,0.45,0.05,2,0.5,2.4,470.0000000000016,5
0.05,0.05,0.15,2,0.5,2.4,468.4000000000006,9
0.05,0.05,0.1,2,0.5,2.4,464.4000000000043,8
0.05,0.15,0.05,2,0.5,2.4,463.20000000000226,8
0.2,0.2,0.1,2,0.5,2.4,457.4000000000007,7
0.2,0.25,0.05,2,0.5,2.4,457.4000000000007,7
0.25,0.1,0.25,2,0.5,2.4,457.20000000000147,7
0.1,0.1,0.1,2,0.5,2.4,455.80000000000535,7
0.15,0.25,0.0,2,0.5,2.4,450.80000000000535,7
0.0,0.05,0.05,2,0.5,2.4,449.200000000003,5
0.0,0.0,0.1,2,0.5,2.4,449.200000000003,5
0.4,0.45,0.0,2,0.5,2.4,440.60000000000406,4
0.3,0.1,0.3,2,0.5,2.4,440.000000000001,7
0.15,0.2,0.05,2,0.5,2.4,422.2000000000039,6
0.45,0.5,0.0,2,0.5,2.4,406.200000000004,4
0.15,0.15,0.1,2,0.5,2.4,403.60000000000264,6
0.2,0.25,0.0,2,0.5,2.4,403.4000000000008,6
0.25,0.2,0.1,2,0.5,2.4,401.60000000000366,6
0.4,0.3,0.15,2,0.5,2.4,393.6000000000025,7
0.4,0.35,0.1,2,0.5,2.4,384.0000000000027,7
0.05,0.1,0.1,2,0.5,2.4,382.4000000000039,9
0.2,0.1,0.2,2,0.5,2.4,379.2000000000037,6
0.35,0.3,0.1,2,0.5,2.4,375.8000000000035,6
0.3,0.35,0.0,2,0.5,2.4,370.8000000000022,5
0.5,0.55,0.0,2,0.5,2.4,370.40000000000583,7
0.3,0.2,0.15,2,0.5,2.4,368.00000000000387,6
0.1,0.05,0.15,2,0.5,2.4,368.00000000000244,8
0.35,0.35,0.05,2,0.5,2.4,366.2000000000037,6
0.25,0.2,0.15,2,0.5,2.4,364.80000000000206,6
0.2,0.3,0.0,2,0.5,2.4,363.2000000000031,6
0.15,0.1,0.15,2,0.5,2.4,363.2000000000031,6
0.25,0.25,0.1,2,0.5,2.4,358.0000000000017,7
0.3,0.25,0.1,2,0.5,2.4,357.80000000000337,8
0.3,0.15,0.2,2,0.5,2.4,356.80000000000405,6
0.3,0.3,0.05,2,0.5,2.4,350.40000000000333,7
0.35,0.4,0.0,2,0.5,2.4,350.40000000000333,7
0.45,0.3,0.15,2,0.5,2.4,341.60000000000946,12
0.45,0.25,0.2,2,0.5,2.4,336.60000000000855,12
0.35,0.15,0.25,2,0.5,2.4,320.60000000000383,6
0.4,0.4,0.05,2,0.5,2.4,319.20000000000346,8
0.35,0.2,0.2,2,0.5,2.4,318.8000000000038,8
0.35,0.25,0.15,2,0.5,2.4,318.8000000000038,8
0.2,0.2,0.05,2,0.5,2.4,318.80000000000155,5
0.2,0.15,0.1,2,0.5,2.4,317.2000000000012,5
0.35,0.1,0.3,2,0.5,2.4,314.400000000004,6
0.2,0.1,0.15,2,0.5,2.4,314.2000000000006,4
