r1,r2,r3,ap,at,sl,pnl,trades
0.6,0.2,0.2,2,0.5,2.4,192.5999999999927,3
0.7,0.6,0.0,2,0.5,2.4,192.5999999999927,3
0.65,0.3,0.15,2,0.5,2.4,192.5999999999927,3
0.6,0.15,0.25,2,0.5,2.4,192.5999999999927,3
0.55,0.1,0.25,2,0.5,2.4,146.79999999999234,7
0.55,0.05,0.3,2,0.5,2.4,146.79999999999234,7
0.65,0.45,0.05,2,0.5,2.4,146.79999999999234,7
0.6,0.3,0.15,2,0.5,2.4,127.99999999999712,31
0.55,0.15,0.25,2,0.5,2.4,117.79999999999347,23
0.65,0.55,0.0,2,0.5,2.4,115.59999999999508,13
0.6,0.4,0.05,2,0.5,2.4,87.99999999999216,15
0.55,0.2,0.2,2,0.5,2.4,49.59999999999067,29
0.65,0.6,0.0,2,0.5,2.4,48.99999999998866,23
0.5,0.1,0.2,2,0.5,2.4,40.199999999995356,13
0.5,0.2,0.2,2,0.5,2.4,34.399999999994975,8
0.6,0.6,0.0,2,0.5,2.4,27.9999999999946,8
0.45,0.2,0.2,2,0.5,2.4,20.19999999999007,7
0.5,0.25,0.15,2,0.5,2.4,18.799999999989524,11
0.45,0.15,0.25,2,0.5,2.4,16.19999999999115,7
0.5,0.3,0.15,2,0.5,2.4,16.19999999999115,7
0.55,0.6,0.0,2,0.5,2.4,16.19999999999115,7
0.55,0.55,0.0,2,0.5,2.4,11.99999999999136,9
0.5,0.15,0.25,2,0.5,2.4,10.599999999994623,11
0.45,0.0,0.35,2,0.5,2.4,9.199999999995867,12
0.45,0.1,0.25,2,0.5,2.4,7.199999999989188,11
0.45,0.05,0.3,2,0.5,2.4,6.599999999991354,11
0.55,0.45,0.05,2,0.5,2.4,6.599999999991354,11
0.6,0.35,0.1,2,0.5,2.4,5.999999999992156,29
0.55,0.3,0.15,2,0.5,2.4,3.5999999999944237,15
0.5,0.0,0.35,2,0.5,2.4,0.9999999999888587,31
0.5,0.35,0.1,2,0.5,2.4,-2.0000000000090097,11
0.4,0.0,0.35,2,0.5,2.4,-2.0000000000090097,11
0.55,0.35,0.1,2,0.5,2.4,-6.800000000006293,15
