r1,r2,r3,ap,at,sl,pnl,trades
0.0,0.1,0.0,2,0.5,2.4,631.6000000000035,7
0.05,0.1,0.0,2,0.5,2.4,606.2000000000028,8
0.1,0.1,0.0,2,0.5,2.4,530.4000000000042,10
0.15,0.1,0.0,2,0.5,2.4,522.5999999999985,12
0.0,0.15,0.0,2,0.5,2.4,482.20000000000323,7
0.0,0.1,0.05,2,0.5,2.4,481.20000000000323,7
0.0,0.0,0.1,2,0.5,2.4,480.2000000000015,13
0.0,0.05,0.05,2,0.5,2.4,480.2000000000015,13
0.0,0.05,0.0,2,0.5,2.4,471.00000000000136,15
0.0,0.0,0.05,2,0.5,2.4,464.40000000000157,15
0.05,0.15,0.0,2,0.5,2.4,455.40000000000464,8
0.05,0.1,0.05,2,0.5,2.4,454.2000000000039,8
0.0,0.0,0.0,2,0.5,2.4,453.8000000000019,18
0.1,0.15,0.0,2,0.5,2.4,446.4000000000041,9
0.05,0.05,0.0,2,0.5,2.4,443.20000000000124,16
0.05,0.05,0.05,2,0.5,2.4,434.6000000000012,14
0.0,0.2,0.0,2,0.5,2.4,434.2000000000008,6
0.05,0.2,0.0,2,0.5,2.4,434.2000000000008,6
0.1,0.1,0.05,2,0.5,2.4,434.00000000000705,9
0.15,0.15,0.0,2,0.5,2.4,421.00000000000614,15
0.1,0.05,0.0,2,0.5,2.4,414.9999999999954,22
0.05,0.0,0.05,2,0.5,2.4,408.80000000000103,18
0.1,0.2,0.0,2,0.5,2.4,407.2000000000015,7
0.15,0.1,0.05,2,0.5,2.4,397.8000000000085,17
0.0,0.25,0.0,2,0.5,2.4,395.79999999999825,5
0.05,0.25,0.0,2,0.5,2.4,395.79999999999825,5
0.0,0.15,0.05,2,0.5,2.4,395.2000000000001,6
0.0,0.1,0.1,2,0.5,2.4,395.0000000000003,6
0.1,0.25,0.0,2,0.5,2.4,368.799999999999,6
0.05,0.15,0.05,2,0.5,2.4,368.40000000000157,7
0.05,0.1,0.1,2,0.5,2.4,368.000000000001,7
0.15,0.2,0.0,2,0.5,2.4,365.0000000000048,8
0.05,0.0,0.1,2,0.5,2.4,364.79999999999995,16
0.1,0.15,0.05,2,0.5,2.4,359.400000000001,8
0.15,0.25,0.0,2,0.5,2.4,342.2000000000006,7
0.1,0.1,0.1,2,0.5,2.4,341.40000000000265,8
0.1,0.05,0.05,2,0.5,2.4,340.60000000000105,18
0.0,0.0,0.15,2,0.5,2.4,334.99999999999994,13
0.0,0.05,0.1,2,0.5,2.4,334.99999999999994,13
0.1,0.0,0.1,2,0.5,2.4,318.0000000000025,29
0.25,0.25,0.0,2,0.5,2.4,303.8000000000052,20
0.05,0.2,0.1,2,0.5,2.4,303.39999999999895,2
0.0,0.2,0.1,2,0.5,2.4,303.39999999999895,2
0.2,0.2,0.0,2,0.5,2.4,297.40000000000623,14
0.15,0.15,0.05,2,0.5,2.4,297.2000000000064,9
0.0,0.25,0.05,2,0.5,2.4,293.3999999999993,3
0.05,0.25,0.05,2,0.5,2.4,293.3999999999993,3
0.0,0.3,0.0,2,0.5,2.4,291.99999999999966,3
0.05,0.3,0.0,2,0.5,2.4,291.99999999999966,3
0.05,0.05,0.1,2,0.5,2.4,287.8000000000011,14
0.15,0.1,0.1,2,0.5,2.4,282.40000000000794,10
0.0,0.1,0.15,2,0.5,2.4,280.1999999999993,3
0.0,0.15,0.1,2,0.5,2.4,280.1999999999993,3
0.05,0.0,0.15,2,0.5,2.4,279.00000000000125,15
0.2,0.25,0.0,2,0.5,2.4,277.40000000000464,11
0.1,0.2,0.1,2,0.5,2.4,276.3999999999997,3
0.1,0.25,0.05,2,0.5,2.4,266.40000000000003,4
0.1,0.3,0.0,2,0.5,2.4,265.2000000000011,4
0.05,0.15,0.1,2,0.5,2.4,253.40000000000077,4
0.05,0.1,0.15,2,0.5,2.4,253.20000000000005,4
0.1,0.05,0.1,2,0.5,2.4,251.60000000000468,15
0.0,0.0,0.2,2,0.5,2.4,250.99999999999756,12
0.0,0.2,0.05,2,0.5,2.4,250.59999999999914,5
0.05,0.2,0.05,2,0.5,2.4,250.59999999999914,5
0.0,0.05,0.15,2,0.5,2.4,249.19999999999737,12
0.15,0.3,0.0,2,0.5,2.4,248.80000000000132,5
0.1,0.0,0.15,2,0.5,2.4,247.00000000000705,16
0.1,0.15,0.1,2,0.5,2.4,244.40000000000023,5
0.15,0.25,0.05,2,0.5,2.4,239.80000000000166,5
0.2,0.15,0.05,2,0.5,2.4,234.60000000000628,22
0.35,0.35,0.0,2,0.5,2.4,234.3999999999995,10
0.15,0.2,0.1,2,0.5,2.4,234.20000000000294,4
0.1,0.1,0.15,2,0.5,2.4,226.60000000000167,5
0.1,0.2,0.05,2,0.5,2.4,223.59999999999985,6
0.2,0.1,0.1,2,0.5,2.4,222.8000000000054,33
0.25,0.2,0.1,2,0.5,2.4,204.40000000000748,8
0.05,0.05,0.15,2,0.5,2.4,201.9999999999985,13
0.15,0.35,0.0,2,0.5,2.4,197.99999999999932,2
0.1,0.35,0.0,2,0.5,2.4,197.99999999999932,2
0.3,0.35,0.0,2,0.5,2.4,197.99999999999932,2
0.05,0.35,0.0,2,0.5,2.4,197.99999999999932,2
0.0,0.1,0.2,2,0.5,2.4,197.99999999999932,2
0.05,0.3,0.05,2,0.5,2.4,197.99999999999932,2
0.25,0.35,0.0,2,0.5,2.4,197.99999999999932,2
0.0,0.15,0.15,2,0.5,2.4,197.99999999999932,2
0.0,0.3,0.05,2,0.5,2.4,197.99999999999932,2
0.0,0.35,0.0,2,0.5,2.4,197.99999999999932,2
0.2,0.35,0.0,2,0.5,2.4,197.99999999999932,2
0.05,0.0,0.2,2,0.5,2.4,194.99999999999886,14
0.2,0.4,0.0,2,0.5,2.4,194.59999999999877,2
0.15,0.4,0.0,2,0.5,2.4,194.59999999999877,2
0.05,0.4,0.0,2,0.5,2.4,194.59999999999877,2
0.0,0.1,0.25,2,0.5,2.4,194.59999999999877,2
0.1,0.4,0.0,2,0.5,2.4,194.59999999999877,2
0.15,0.35,0.05,2,0.5,2.4,194.59999999999877,2
0.05,0.2,0.15,2,0.5,2.4,194.59999999999877,2
0.0,0.25,0.1,2,0.5,2.4,194.59999999999877,2
0.35,0.4,0.0,2,0.5,2.4,194.59999999999877,2
