r1,r2,r3,ap,at,sl,pnl,trades
0.1,0.3,0.05,2,0.5,2.4,240.2000000000009,8
0.1,0.35,0.0,2,0.5,2.4,240.2000000000009,8
0.3,0.15,0.4,2,0.5,2.4,231.40000000000165,10
0.15,0.2,0.2,2,0.5,2.4,231.20000000000292,7
0.0,0.0,0.35,2,0.5,2.4,231.20000000000292,7
0.05,0.0,0.4,2,0.5,2.4,231.20000000000292,7
0.0,0.1,0.2,2,0.5,2.4,231.20000000000292,7
0.1,0.0,0.45,2,0.5,2.4,231.20000000000292,7
0.1,0.25,0.1,2,0.5,2.4,231.20000000000292,7
0.05,0.1,0.25,2,0.5,2.4,227.40000000000092,8
0.3,0.5,0.0,2,0.5,2.4,227.40000000000092,8
0.25,0.15,0.35,2,0.5,2.4,219.40000000000367,9
0.3,0.3,0.2,2,0.5,2.4,215.60000000000167,10
0.2,0.0,0.55,2,0.5,2.4,213.400000000004,11
0.25,0.0,0.6,2,0.5,2.4,202.00000000000276,12
0.15,0.0,0.5,2,0.5,2.4,194.80000000000362,9
0.1,0.1,0.3,2,0.5,2.4,188.00000000000054,9
0.05,0.3,0.0,2,0.5,2.4,184.00000000000276,7
0.25,0.4,0.05,2,0.5,2.4,184.00000000000276,7
0.25,0.35,0.1,2,0.5,2.4,184.00000000000276,7
0.1,0.2,0.15,2,0.5,2.4,184.00000000000276,7
0.25,0.45,0.0,2,0.5,2.4,184.00000000000276,7
0.05,0.25,0.05,2,0.5,2.4,184.00000000000276,7
0.2,0.2,0.25,2,0.5,2.4,178.40000000000072,9
0.15,0.25,0.15,2,0.5,2.4,178.40000000000072,9
0.3,0.45,0.05,2,0.5,2.4,176.2000000000013,11
0.3,0.35,0.15,2,0.5,2.4,176.2000000000013,11
0.25,0.3,0.15,2,0.5,2.4,172.2000000000035,9
0.3,0.25,0.25,2,0.5,2.4,172.2000000000035,9
0.2,0.15,0.3,2,0.5,2.4,172.2000000000035,9
0.25,0.05,0.5,2,0.5,2.4,168.20000000000385,11
0.3,0.4,0.1,2,0.5,2.4,166.60000000000147,11
0.2,0.05,0.45,2,0.5,2.4,166.20000000000385,11
0.0,0.2,0.1,2,0.5,2.4,138.8000000000011,10
0.15,0.3,0.1,2,0.5,2.4,138.8000000000011,10
0.15,0.4,0.0,2,0.5,2.4,138.8000000000011,10
0.15,0.35,0.05,2,0.5,2.4,138.8000000000011,10
0.0,0.15,0.15,2,0.5,2.4,138.8000000000011,10
0.1,0.15,0.25,2,0.5,2.4,138.8000000000011,10
0.2,0.25,0.2,2,0.5,2.4,138.8000000000011,10
0.05,0.15,0.2,2,0.5,2.4,138.8000000000011,10
0.0,0.05,0.3,2,0.5,2.4,138.8000000000011,10
0.05,0.05,0.35,2,0.5,2.4,138.8000000000011,10
0.1,0.05,0.4,2,0.5,2.4,138.8000000000011,10
0.15,0.1,0.35,2,0.5,2.4,138.8000000000011,10
0.35,0.35,0.2,2,0.5,2.4,130.00000000000182,12
0.3,0.2,0.35,2,0.5,2.4,130.00000000000182,12
0.35,0.3,0.25,2,0.5,2.4,130.00000000000182,12
0.0,0.25,0.05,2,0.5,2.4,129.60000000000178,10
