r1,r2,r3,ap,at,sl,pnl,trades
0.15,0.0,0.1,2,0.5,2.4,116.60000000000534,2
0.3,0.25,0.0,2,0.5,2.4,80.60000000000261,2
0.35,0.3,0.0,2,0.5,2.4,78.20000000000151,2
0.3,0.2,0.05,2,0.5,2.4,76.00000000000225,2
0.3,0.15,0.1,2,0.5,2.4,76.00000000000225,2
0.25,0.0,0.25,2,0.5,2.4,59.40000000000294,4
0.3,0.3,0.0,2,0.5,2.4,41.200000000002916,2
0.15,0.05,0.05,2,0.5,2.4,36.80000000000574,22
0.2,0.0,0.2,2,0.5,2.4,34.800000000000914,4
0.05,0.0,0.0,2,0.5,2.4,21.40000000000235,22
0.25,0.05,0.2,2,0.5,2.4,18.00000000000254,14
0.25,0.1,0.1,2,0.5,2.4,6.80000000000018,2
0.25,0.15,0.05,2,0.5,2.4,6.80000000000018,2
0.25,0.1,0.15,2,0.5,2.4,0.40000000000035385,10
0.65,0.35,0.0,2,0.5,2.4,0.0,0
0.65,0.3,0.2,2,0.5,2.4,0.0,0
0.65,0.35,0.35,2,0.5,2.4,0.0,0
0.65,0.35,0.3,2,0.5,2.4,0.0,0
0.65,0.35,0.25,2,0.5,2.4,0.0,0
0.65,0.35,0.2,2,0.5,2.4,0.0,0
0.65,0.35,0.15,2,0.5,2.4,0.0,0
0.65,0.35,0.1,2,0.5,2.4,0.0,0
0.65,0.3,0.25,2,0.5,2.4,0.0,0
0.65,0.3,0.3,2,0.5,2.4,0.0,0
0.65,0.35,0.05,2,0.5,2.4,0.0,0
0.65,0.3,0.55,2,0.5,2.4,0.0,0
0.65,0.3,0.5,2,0.5,2.4,0.0,0
0.65,0.3,0.4,2,0.5,2.4,0.0,0
0.65,0.3,0.95,2,0.5,2.4,0.0,0
0.65,0.3,0.9,2,0.5,2.4,0.0,0
0.65,0.3,0.45,2,0.5,2.4,0.0,0
0.65,0.3,0.85,2,0.5,2.4,0.0,0
0.65,0.35,0.4,2,0.5,2.4,0.0,0
0.65,0.3,0.8,2,0.5,2.4,0.0,0
0.65,0.3,0.75,2,0.5,2.4,0.0,0
0.65,0.3,0.7,2,0.5,2.4,0.0,0
0.65,0.3,0.65,2,0.5,2.4,0.0,0
0.65,0.3,0.6,2,0.5,2.4,0.0,0
0.65,0.3,0.35,2,0.5,2.4,0.0,0
0.65,0.35,0.55,2,0.5,2.4,0.0,0
0.65,0.35,0.45,2,0.5,2.4,0.0,0
0.65,0.4,0.25,2,0.5,2.4,0.0,0
0.65,0.4,0.9,2,0.5,2.4,0.0,0
0.65,0.4,0.85,2,0.5,2.4,0.0,0
0.65,0.4,0.8,2,0.5,2.4,0.0,0
0.65,0.4,0.75,2,0.5,2.4,0.0,0
0.65,0.4,0.7,2,0.5,2.4,0.0,0
0.65,0.4,0.65,2,0.5,2.4,0.0,0
0.65,0.4,0.6,2,0.5,2.4,0.0,0
0.65,0.4,0.55,2,0.5,2.4,0.0,0
0.65,0.4,0.5,2,0.5,2.4,0.0,0
0.65,0.4,0.45,2,0.5,2.4,0.0,0
0.65,0.4,0.4,2,0.5,2.4,0.0,0
0.65,0.4,0.35,2,0.5,2.4,0.0,0
0.65,0.4,0.3,2,0.5,2.4,0.0,0
0.65,0.4,0.2,2,0.5,2.4,0.0,0
0.65,0.35,0.5,2,0.5,2.4,0.0,0
0.65,0.4,0.15,2,0.5,2.4,0.0,0
0.65,0.4,0.1,2,0.5,2.4,0.0,0
0.65,0.4,0.05,2,0.5,2.4,0.0,0
0.65,0.4,0.0,2,0.5,2.4,0.0,0
0.65,0.35,0.95,2,0.5,2.4,0.0,0
0.65,0.35,0.9,2,0.5,2.4,0.0,0
0.65,0.35,0.85,2,0.5,2.4,0.0,0
0.65,0.35,0.8,2,0.5,2.4,0.0,0
0.65,0.35,0.75,2,0.5,2.4,0.0,0
0.65,0.35,0.7,2,0.5,2.4,0.0,0
0.65,0.35,0.65,2,0.5,2.4,0.0,0
0.65,0.35,0.6,2,0.5,2.4,0.0,0
0.65,0.3,0.1,2,0.5,2.4,0.0,0
0.65,0.3,0.15,2,0.5,2.4,0.0,0
0.65,0.25,0.8,2,0.5,2.4,0.0,0
0.65,0.3,0.05,2,0.5,2.4,0.0,0
0.65,0.2,0.5,2,0.5,2.4,0.0,0
0.65,0.2,0.4,2,0.5,2.4,0.0,0
0.65,0.2,0.35,2,0.5,2.4,0.0,0
0.65,0.2,0.3,2,0.5,2.4,0.0,0
0.65,0.2,0.25,2,0.5,2.4,0.0,0
0.65,0.2,0.2,2,0.5,2.4,0.0,0
0.65,0.2,0.15,2,0.5,2.4,0.0,0
0.65,0.2,0.1,2,0.5,2.4,0.0,0
0.65,0.2,0.05,2,0.5,2.4,0.0,0
0.65,0.2,0.0,2,0.5,2.4,0.0,0
0.65,0.15,0.95,2,0.5,2.4,0.0,0
0.65,0.15,0.9,2,0.5,2.4,0.0,0
0.65,0.15,0.85,2,0.5,2.4,0.0,0
0.65,0.15,0.8,2,0.5,2.4,0.0,0
0.65,0.15,0.75,2,0.5,2.4,0.0,0
0.65,0.15,0.7,2,0.5,2.4,0.0,0
0.65,0.15,0.65,2,0.5,2.4,0.0,0
0.65,0.15,0.6,2,0.5,2.4,0.0,0
0.65,0.15,0.55,2,0.5,2.4,0.0,0
0.65,0.15,0.5,2,0.5,2.4,0.0,0
0.65,0.15,0.45,2,0.5,2.4,0.0,0
0.65,0.15,0.4,2,0.5,2.4,0.0,0
0.65,0.15,0.35,2,0.5,2.4,0.0,0
0.65,0.15,0.3,2,0.5,2.4,0.0,0
0.65,0.15,0.25,2,0.5,2.4,0.0,0
0.65,0.15,0.2,2,0.5,2.4,0.0,0
0.65,0.15,0.15,2,0.5,2.4,0.0,0
0.65,0.15,0.1,2,0.5,2.4,0.0,0
0.65,0.2,0.45,2,0.5,2.4,0.0,0
0.65,0.2,0.55,2,0.5,2.4,0.0,0
0.65,0.3,0.0,2,0.5,2.4,0.0,0
0.65,0.2,0.6,2,0.5,2.4,0.0,0
0.65,0.25,0.95,2,0.5,2.4,0.0,0
0.65,0.25,0.9,2,0.5,2.4,0.0,0
0.65,0.25,0.85,2,0.5,2.4,0.0,0
0.65,0.45,0.0,2,0.5,2.4,0.0,0
0.65,0.25,0.75,2,0.5,2.4,0.0,0
0.65,0.25,0.7,2,0.5,2.4,0.0,0
0.65,0.25,0.65,2,0.5,2.4,0.0,0
0.65,0.25,0.6,2,0.5,2.4,0.0,0
0.65,0.25,0.55,2,0.5,2.4,0.0,0
0.65,0.25,0.5,2,0.5,2.4,0.0,0
0.65,0.25,0.45,2,0.5,2.4,0.0,0
0.65,0.25,0.4,2,0.5,2.4,0.0,0
0.65,0.25,0.35,2,0.5,2.4,0.0,0
0.65,0.25,0.3,2,0.5,2.4,0.0,0
0.65,0.25,0.25,2,0.5,2.4,0.0,0
0.65,0.25,0.2,2,0.5,2.4,0.0,0
0.65,0.25,0.15,2,0.5,2.4,0.0,0
0.65,0.25,0.1,2,0.5,2.4,0.0,0
0.65,0.25,0.05,2,0.5,2.4,0.0,0
0.65,0.25,0.0,2,0.5,2.4,0.0,0
0.65,0.2,0.95,2,0.5,2.4,0.0,0
0.65,0.2,0.9,2,0.5,2.4,0.0,0
0.65,0.2,0.85,2,0.5,2.4,0.0,0
0.65,0.2,0.8,2,0.5,2.4,0.0,0
0.65,0.2,0.75,2,0.5,2.4,0.0,0
