datetime,open,high,low,close,volume,InstrumentID,ATR,mvag,Signal,Position,Trade_Price,Cum_PnL
2023-01-03 09:30:00,3860.0,3862.4,3849.0,3857.6,200209,IF2301,,,0,0,,0.0
2023-01-03 09:31:00,3858.2,3861.6,3853.8,3860.8,382152,IF2301,,,0,0,,0.0
2023-01-03 09:32:00,3861.0,3865.0,3859.6,3863.6,484693,IF2301,,,0,0,,0.0
2023-01-03 09:33:00,3863.8,3865.4,3861.2,3865.4,559334,IF2301,,,0,0,,0.0
2023-01-03 09:34:00,3864.8,3864.8,3861.2,3862.6,629403,IF2301,,,0,0,,0.0
2023-01-03 09:35:00,3862.4,3862.4,3858.6,3859.0,696911,IF2301,,,0,0,,0.0
2023-01-03 09:36:00,3858.0,3858.2,3849.0,3851.6,798295,IF2301,,,0,0,,0.0
2023-01-03 09:37:00,3850.8,3850.8,3844.0,3846.2,942354,IF2301,,,0,0,,0.0
2023-01-03 09:38:00,3845.6,3845.6,3842.0,3842.2,1074932,IF2301,,,0,0,,0.0
2023-01-03 09:39:00,3841.4,3844.6,3840.2,3841.2,1176226,IF2301,,,0,0,,0.0
2023-01-03 09:40:00,3841.8,3841.8,3838.0,3839.0,1277912,IF2301,,,0,0,,0.0
2023-01-03 09:41:00,3839.0,3842.6,3839.0,3840.0,1358943,IF2301,,,0,0,,0.0
2023-01-03 09:42:00,3840.2,3843.6,3838.4,3842.0,1434772,IF2301,,,0,0,,0.0
2023-01-03 09:43:00,3842.2,3842.2,3840.0,3840.8,1492976,IF2301,,,0,0,,0.0
2023-01-03 09:44:00,3841.2,3842.2,3840.6,3841.6,1524387,IF2301,,,0,0,,0.0
2023-01-03 09:45:00,3841.6,3845.4,3841.0,3843.6,1588572,IF2301,,,0,0,,0.0
2023-01-03 09:46:00,3843.6,3843.6,3840.4,3840.6,1630509,IF2301,,,0,0,,0.0
2023-01-03 09:47:00,3840.6,3842.4,3838.8,3841.8,1694087,IF2301,,,0,0,,0.0
2023-01-03 09:48:00,3841.8,3841.8,3838.2,3839.0,1712501,IF2301,,,0,0,,0.0
2023-01-03 09:49:00,3839.0,3842.0,3838.4,3839.0,1707647,IF2301,,,0,0,,0.0
2023-01-03 09:50:00,3838.8,3839.0,3835.2,3835.4,1843675,IF2301,,3847.8799999999997,0,0,,0.0
2023-01-03 09:51:00,3835.4,3836.0,3834.6,3836.0,1888900,IF2301,4.520000000000005,3846.769999999999,-1,-1,3836.0,0.0
2023-01-03 09:52:00,3835.6,3836.8,3834.4,3836.8,1931480,IF2301,4.36400000000001,3845.529999999999,0,-1,,0.0
2023-01-03 09:53:00,3836.8,3838.8,3836.2,3838.6,1972118,IF2301,4.265800000000014,3844.1899999999987,0,-1,,0.0
2023-01-03 09:54:00,3838.8,3841.0,3838.4,3840.4,2021726,IF2301,4.182510000000031,3842.8499999999995,0,-1,,0.0
2023-01-03 09:55:00,3840.6,3840.6,3836.8,3837.0,1999752,IF2301,4.103384500000025,3841.739999999999,0,-1,,0.0
2023-01-03 09:56:00,3836.8,3839.8,3835.6,3839.0,2103317,IF2301,4.088215275000009,3840.6399999999985,0,-1,,0.0
2023-01-03 09:57:00,3839.4,3841.8,3839.2,3841.6,2086198,IF2301,4.093804511250022,3840.0099999999984,0,0,3841.6,-6.599999999999909
2023-01-03 09:58:00,3841.6,3842.0,3840.2,3842.0,2168328,IF2301,4.02911428568753,3839.779999999999,0,0,,-6.599999999999909
2023-01-03 09:59:00,3842.0,3842.6,3840.6,3842.0,2218394,IF2301,3.9176585714031633,3839.769999999999,0,0,,-6.599999999999909
2023-01-03 10:00:00,3841.8,3842.8,3840.0,3841.8,2293295,IF2301,3.8217756428330047,3839.809999999999,0,0,,-6.599999999999909
2023-01-03 10:01:00,3841.8,3843.8,3840.8,3842.6,2270121,IF2301,3.770686860691364,3839.9499999999994,0,0,,-6.599999999999909
2023-01-03 10:02:00,3842.4,3846.2,3842.4,3846.0,2298936,IF2301,3.732152517656796,3840.0799999999995,0,0,,-6.599999999999909
2023-01-03 10:03:00,3846.0,3847.4,3845.6,3846.6,2404306,IF2301,3.7355448917739422,3840.2799999999997,0,0,,-6.599999999999909
2023-01-03 10:04:00,3846.6,3848.0,3845.6,3847.8,2422943,IF2301,3.6387676471852544,3840.5699999999997,0,0,,-6.599999999999909
2023-01-03 10:05:00,3848.0,3848.0,3845.2,3845.4,2462673,IF2301,3.576829264825996,3840.8799999999997,0,0,,-6.599999999999909
2023-01-03 10:06:00,3845.4,3847.6,3844.2,3847.4,2370025,IF2301,3.5379878015847055,3840.969999999999,0,0,,-6.599999999999909
2023-01-03 10:07:00,3847.4,3849.2,3846.4,3846.6,2528526,IF2301,3.5310884115054746,3841.3099999999986,0,0,,-6.599999999999909
2023-01-03 10:08:00,3846.6,3847.2,3845.0,3845.2,2463490,IF2301,3.4945339909301874,3841.5499999999984,0,0,,-6.599999999999909
2023-01-03 10:09:00,3844.8,3844.8,3842.8,3843.2,2531412,IF2301,3.429807291383669,3841.8599999999983,0,0,,-6.599999999999909
2023-01-03 10:10:00,3843.4,3843.8,3839.6,3840.8,2585268,IF2301,3.3783169268144677,3842.0699999999983,0,0,,-6.599999999999909
2023-01-03 10:11:00,3841.0,3842.2,3840.0,3841.6,2575260,IF2301,3.419401080473758,3842.339999999999,0,0,,-6.599999999999909
2023-01-03 10:12:00,3841.6,3843.6,3841.6,3842.6,2637003,IF2301,3.3584310264500608,3842.619999999999,0,0,,-6.599999999999909
2023-01-03 10:13:00,3842.6,3844.6,3842.4,3843.2,2427132,IF2301,3.290509475127558,3842.909999999999,0,0,,-6.599999999999909
2023-01-03 10:14:00,3843.2,3843.2,3841.2,3841.8,2461583,IF2301,3.2359840013711705,3843.1399999999985,0,0,,-6.599999999999909
2023-01-03 10:15:00,3842.8,3843.0,3839.0,3839.0,2641369,IF2301,3.1741848013026117,3843.209999999999,0,0,,-6.599999999999909
2023-01-03 10:16:00,3838.6,3839.6,3837.6,3838.6,2770661,IF2301,3.2154755612374815,3843.309999999999,0,0,,-6.599999999999909
2023-01-03 10:17:00,3838.6,3840.6,3838.0,3839.6,2661565,IF2301,3.1547017831756072,3843.2899999999995,0,0,,-6.599999999999909
2023-01-03 10:18:00,3839.6,3841.2,3839.6,3841.0,2614279,IF2301,3.126966694016822,3843.1899999999996,0,0,,-6.599999999999909
2023-01-03 10:19:00,3841.0,3843.4,3840.6,3843.4,2730245,IF2301,3.0506183593159766,3843.1399999999994,0,0,,-6.599999999999909
2023-01-03 10:20:00,3843.4,3845.6,3842.2,3845.0,2749245,IF2301,3.0380874413501866,3843.209999999999,0,0,,-6.599999999999909
2023-01-03 10:21:00,3845.0,3846.6,3844.4,3845.6,2769574,IF2301,3.0561830692826817,3843.369999999999,0,0,,-6.599999999999909
2023-01-03 10:22:00,3845.6,3846.6,3845.4,3846.0,2499688,IF2301,3.0133739158185384,3843.519999999999,0,0,,-6.599999999999909
2023-01-03 10:23:00,3846.0,3848.4,3845.2,3848.0,2588741,IF2301,2.9227052200276025,3843.519999999999,0,0,,-6.599999999999909
2023-01-03 10:24:00,3848.4,3851.4,3848.2,3850.4,2912443,IF2301,2.9365699590262357,3843.589999999999,1,1,3850.4,-6.599999999999909
2023-01-03 10:25:00,3850.0,3855.6,3849.0,3855.4,2983643,IF2301,2.9597414610749286,3843.7199999999984,1,2,3855.4,-6.599999999999909
2023-01-03 10:26:00,3855.2,3858.8,3855.2,3858.8,3094011,IF2301,3.1417543880211776,3844.2199999999984,1,3,3858.8,-6.599999999999909
2023-01-03 10:27:00,3859.0,3862.6,3859.0,3861.4,3175322,IF2301,3.1646666686201366,3844.7899999999986,1,4,3861.4,-6.599999999999909
2023-01-03 10:28:00,3861.4,3861.6,3858.0,3860.4,3201142,IF2301,3.196433335189116,3845.529999999998,0,4,,-6.599999999999909
2023-01-03 10:29:00,3860.8,3864.0,3860.8,3863.2,3287252,IF2301,3.2166116684296555,3846.289999999998,1,5,3863.2,-6.599999999999909
2023-01-03 10:30:00,3863.8,3865.4,3863.0,3863.0,3358702,IF2301,3.235781085008168,3847.289999999998,0,5,,-6.599999999999909
2023-01-03 10:31:00,3863.0,3867.6,3862.8,3866.6,3421499,IF2301,3.193992030757764,3848.399999999998,1,6,3866.6,-6.599999999999909
2023-01-03 10:32:00,3866.6,3868.8,3865.0,3866.0,3491547,IF2301,3.2742924292198623,3849.649999999998,0,6,,-6.599999999999909
2023-01-03 10:33:00,3866.0,3868.2,3864.8,3866.4,3451838,IF2301,3.3005778077588785,3850.8199999999974,0,6,,-6.599999999999909
2023-01-03 10:34:00,3866.0,3867.8,3865.8,3866.8,3552237,IF2301,3.305548917370916,3851.9799999999973,0,6,,-6.599999999999909
2023-01-03 10:35:00,3866.4,3868.8,3864.6,3865.2,3594096,IF2301,3.2402714715023704,3853.2299999999973,0,6,,-6.599999999999909
2023-01-03 10:36:00,3865.2,3866.4,3863.2,3863.2,3629766,IF2301,3.288257897927265,3854.5399999999972,0,6,,-6.599999999999909
2023-01-03 10:37:00,3863.2,3865.8,3863.2,3865.8,3533672,IF2301,3.2838450030309154,3855.769999999997,0,6,,-6.599999999999909
2023-01-03 10:38:00,3865.8,3868.0,3863.6,3864.2,3626914,IF2301,3.2496527528793875,3857.0799999999967,0,6,,-6.599999999999909
2023-01-03 10:39:00,3864.2,3866.8,3863.8,3866.8,3651006,IF2301,3.3071701152354223,3858.2399999999966,0,6,,-6.599999999999909
2023-01-03 10:40:00,3866.8,3867.6,3864.2,3866.4,3609732,IF2301,3.291811609473651,3859.409999999997,0,6,,-6.599999999999909
2023-01-03 10:41:00,3865.6,3868.8,3864.4,3868.8,3630739,IF2301,3.297221028999973,3860.479999999997,1,7,3868.8,-6.599999999999909
2023-01-03 10:42:00,3869.0,3870.0,3865.0,3865.6,3828936,IF2301,3.352359977549979,3861.6399999999967,0,7,,-6.599999999999909
2023-01-03 10:43:00,3865.6,3865.8,3863.8,3865.2,3669574,IF2301,3.4347419786724798,3862.6199999999967,0,7,,-6.599999999999909
2023-01-03 10:44:00,3865.2,3867.2,3864.2,3865.4,3662018,IF2301,3.363004879738856,3863.479999999997,0,7,,-6.599999999999909
2023-01-03 10:45:00,3866.0,3866.2,3862.0,3862.4,3383826,IF2301,3.3448546357519136,3864.229999999997,0,0,3862.4,-1.3999999999996362
2023-01-03 10:46:00,3862.4,3863.6,3862.2,3862.8,3736391,IF2301,3.3876119039643084,3864.5799999999967,0,0,,-1.3999999999996362
2023-01-03 10:47:00,3862.8,3863.2,3862.2,3862.8,3686024,IF2301,3.2882313087660977,3864.7799999999966,0,0,,-1.3999999999996362
2023-01-03 10:48:00,3863.6,3865.6,3863.2,3865.4,3635226,IF2301,3.173819743327793,3864.849999999997,0,0,,-1.3999999999996362
2023-01-03 10:49:00,3865.4,3867.6,3864.2,3867.0,3451374,IF2301,3.15512875616139,3865.099999999997,0,0,,-1.3999999999996362
2023-01-03 10:50:00,3867.0,3868.0,3865.4,3867.2,3800551,IF2301,3.167372318353325,3865.2899999999972,0,0,,-1.3999999999996362
2023-01-03 10:51:00,3867.2,3868.4,3866.6,3867.0,3686579,IF2301,3.1390037024356543,3865.4999999999973,0,0,,-1.3999999999996362
2023-01-03 10:52:00,3867.0,3868.0,3864.0,3864.0,4007441,IF2301,3.0720535173138805,3865.519999999997,0,0,,-1.3999999999996362
2023-01-03 10:53:00,3864.0,3864.6,3863.0,3864.0,3961215,IF2301,3.1184508414481864,3865.419999999997,0,0,,-1.3999999999996362
2023-01-03 10:54:00,3864.0,3866.0,3863.2,3866.0,3739552,IF2301,3.0425282993757725,3865.299999999997,0,0,,-1.3999999999996362
2023-01-03 10:55:00,3866.0,3866.0,3864.0,3864.6,3648501,IF2301,3.030401884406993,3865.259999999997,0,0,,-1.3999999999996362
2023-01-03 10:56:00,3864.6,3868.0,3864.6,3866.8,3730060,IF2301,2.9788817901866436,3865.2299999999973,0,0,,-1.3999999999996362
2023-01-03 10:57:00,3866.8,3867.6,3863.6,3864.8,3747255,IF2301,2.999937700677316,3865.4099999999976,0,0,,-1.3999999999996362
2023-01-03 10:58:00,3864.8,3866.8,3864.6,3865.8,3449026,IF2301,3.04994081564345,3865.359999999998,0,0,,-1.3999999999996362
2023-01-03 10:59:00,3865.8,3869.2,3865.6,3869.2,3567373,IF2301,3.007443774861291,3865.439999999998,0,0,,-1.3999999999996362
2023-01-03 11:00:00,3869.8,3871.4,3865.8,3865.8,4170173,IF2301,3.037071586118222,3865.5599999999977,0,0,,-1.3999999999996362
2023-01-03 11:01:00,3866.2,3871.6,3864.0,3869.8,4229722,IF2301,3.165218006812306,3865.529999999998,0,0,,-1.3999999999996362
2023-01-03 11:02:00,3869.4,3870.2,3867.4,3869.6,3871464,IF2301,3.3869571064716864,3865.579999999998,0,0,,-1.3999999999996362
2023-01-03 11:03:00,3869.6,3870.0,3865.8,3866.2,4140434,IF2301,3.3576092511480886,3865.779999999998,0,0,,-1.3999999999996362
2023-01-03 11:04:00,3866.2,3869.6,3865.8,3869.4,4120447,IF2301,3.399728788590675,3865.829999999998,0,0,,-1.3999999999996362
2023-01-03 11:05:00,3869.2,3870.6,3868.0,3870.0,4137129,IF2301,3.4197423491611274,3866.029999999998,0,0,,-1.3999999999996362
2023-01-03 11:06:00,3870.0,3872.2,3870.0,3871.6,4156967,IF2301,3.3787552317030665,3866.4099999999985,0,0,,-1.3999999999996362
2023-01-03 11:07:00,3871.6,3874.4,3870.8,3871.0,4302641,IF2301,3.319817470117904,3866.8499999999985,0,0,,-1.3999999999996362
2023-01-03 11:08:00,3870.4,3873.2,3870.4,3872.4,4411439,IF2301,3.333826596612005,3867.2599999999984,0,0,,-1.3999999999996362
2023-01-03 11:09:00,3873.0,3873.0,3869.2,3870.8,4372674,IF2301,3.3071352667813914,3867.6099999999983,0,0,,-1.3999999999996362
2023-01-03 11:10:00,3870.8,3871.4,3867.2,3867.4,4204434,IF2301,3.331778503442331,3867.7999999999984,0,0,,-1.3999999999996362
2023-01-03 11:11:00,3867.4,3870.8,3867.4,3869.2,3920922,IF2301,3.375189578270228,3867.8099999999986,0,0,,-1.3999999999996362
2023-01-03 11:12:00,3869.2,3869.4,3867.4,3868.6,3969419,IF2301,3.376430099356721,3867.9199999999983,0,0,,-1.3999999999996362
2023-01-03 11:13:00,3868.6,3869.2,3868.0,3868.4,3488283,IF2301,3.307608594388885,3868.1499999999987,0,0,,-1.3999999999996362
2023-01-03 11:14:00,3868.4,3869.4,3868.0,3868.8,3687635,IF2301,3.2022281646694317,3868.369999999998,0,0,,-1.3999999999996362
2023-01-03 11:15:00,3868.8,3869.0,3866.0,3866.6,4193707,IF2301,3.1121167564359644,3868.5099999999984,0,0,,-1.3999999999996362
